Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\CustomCharEdit,6,500,343,240,18,54,2,103,371,0,2
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\CustomCharEdit\Properties,3,140,73,25,4,20,2,47,269,0,2
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\CustomCharEdit\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\CustomCharEdit\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\LCDBoardController,5,585,368,242,36,92,7,125,1035,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\LCDBoardControllerMain,2,92,55,31,1,14,0,23,146,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\LCDBoardControllerMain\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\LCDBoardControllerMain\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\LCDBoardControllerMain\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\LCDBoardController\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\LCDBoardController\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\LCDBoardController\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\LibraryOfNoise,7,510,353,238,12,63,3,94,347,0,2
C:\Users\Chris\Documents\GitHub\Misc\LibraryOfNoise\LibraryOfNoise,7,510,353,238,12,63,3,94,347,0,2
C:\Users\Chris\Documents\GitHub\Misc\LibraryOfNoise\LibraryOfNoise\Properties,3,140,73,25,4,20,2,47,269,0,2
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatAnalyzer,10,857,689,467,64,138,6,30,222,0,0
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatAnalyzer\MeijerStatAnalyzer,10,857,689,467,64,138,6,30,222,0,0
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatAnalyzer\MeijerStatAnalyzer\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatAnalyzer\MeijerStatAnalyzer\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatAnalyzer\MeijerStatAnalyzer\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatTrack,2,54,30,12,0,7,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatTrack\MeijerStatTrack,2,54,30,12,0,7,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatTrack\MeijerStatTrack\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatTrack\MeijerStatTrack\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatTrack\MeijerStatTrack\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\PictureTiler,8,859,632,378,68,113,4,114,546,0,1
C:\Users\Chris\Documents\GitHub\Misc\PictureTilerCLI,4,407,327,182,44,49,0,31,163,0,0
C:\Users\Chris\Documents\GitHub\Misc\PictureTilerCLI\PictureTilerCLI,4,407,327,182,44,49,0,31,163,0,0
C:\Users\Chris\Documents\GitHub\Misc\PictureTilerCLI\PictureTilerCLI\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\PictureTilerCLI\PictureTilerCLI\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\PictureTilerCLI\PictureTilerCLI\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\PictureTiler\PictureTiler,8,859,632,378,68,113,4,114,546,0,1
C:\Users\Chris\Documents\GitHub\Misc\PictureTiler\PictureTiler\Properties,1,29,14,3,0,2,0,13,67,0,0
C:\Users\Chris\Documents\GitHub\Misc\PictureTiler\PictureTiler\obj,5,692,531,318,63,98,4,63,198,0,1
C:\Users\Chris\Documents\GitHub\Misc\PictureTiler\PictureTiler\obj\ARM,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\PictureTiler\PictureTiler\obj\ARM\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\PictureTiler\PictureTiler\obj\x86,5,692,531,318,63,98,4,63,198,0,1
C:\Users\Chris\Documents\GitHub\Misc\PictureTiler\PictureTiler\obj\x86\Debug,5,692,531,318,63,98,4,63,198,0,1
C:\Users\Chris\Documents\GitHub\Misc\ProgrammingPuzzles,5,474,398,243,36,53,0,23,144,0,0
C:\Users\Chris\Documents\GitHub\Misc\ProgrammingPuzzles\ProgrammingPuzzles,5,474,398,243,36,53,0,23,144,0,0
C:\Users\Chris\Documents\GitHub\Misc\ProgrammingPuzzles\ProgrammingPuzzles\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\ProgrammingPuzzles\ProgrammingPuzzles\Puzzles,2,357,318,198,33,35,0,4,16,0,0
C:\Users\Chris\Documents\GitHub\Misc\ProgrammingPuzzles\ProgrammingPuzzles\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\ProgrammingPuzzles\ProgrammingPuzzles\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickCountdown,6,434,284,201,5,45,2,105,395,0,2
C:\Users\Chris\Documents\GitHub\Misc\QuickCountdown\QuickCountdown,6,434,284,201,5,45,2,105,395,0,2
C:\Users\Chris\Documents\GitHub\Misc\QuickCountdown\QuickCountdown\Properties,3,140,73,25,4,20,2,47,269,0,2
C:\Users\Chris\Documents\GitHub\Misc\QuickCountdown\QuickCountdown\obj,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickCountdown\QuickCountdown\obj\Debug,0,0,0,0,0,0,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickLog,6,356,239,145,6,38,4,79,362,0,2
