File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Chris\Documents\GitHub\Misc\HeavenlyPointsCalculator\HeavenlyPointsCalculator\HeavenlyPointsCalculator\Program.cs,65,55,39,5,9,0,1,9,0,0
C:\Users\Chris\Documents\GitHub\Misc\HeavenlyPointsCalculator\HeavenlyPointsCalculator\HeavenlyPointsCalculator\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\CharacterManager\CharacterBank.cs,91,76,42,8,15,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\CharacterManager\CustomCharacter.cs,48,40,25,4,8,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\CharacterManager\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\CustomCharEdit\MainForm.cs,144,117,81,13,24,0,3,23,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\CustomCharEdit\MainForm.Designer.cs,193,135,123,1,8,0,50,67,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\CustomCharEdit\Program.cs,23,18,11,0,2,0,3,12,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\CustomCharEdit\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\CustomCharEdit\Properties\Resources.Designer.cs,72,41,16,3,9,1,22,119,0,1
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\CustomCharEdit\Properties\Settings.Designer.cs,31,17,6,1,6,1,8,30,0,1
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\LCDBoardController\BoardText.cs,25,11,7,0,2,0,12,74,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\LCDBoardController\Color.cs,23,20,14,0,3,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\LCDBoardController\LCDBoard.cs,274,190,135,15,48,6,36,236,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\LCDBoardController\Message.cs,226,132,83,21,34,1,60,605,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\LCDBoardController\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\LCDBoardControllerMain\Program.cs,55,40,28,1,9,0,6,26,0,0
C:\Users\Chris\Documents\GitHub\Misc\LCDBoardController\LCDBoardControllerMain\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\LibraryOfNoise\LibraryOfNoise\MainForm.cs,95,78,46,5,17,1,0,1,0,0
C:\Users\Chris\Documents\GitHub\Misc\LibraryOfNoise\LibraryOfNoise\MainForm.Designer.cs,189,137,119,1,8,0,44,65,0,0
C:\Users\Chris\Documents\GitHub\Misc\LibraryOfNoise\LibraryOfNoise\NoiseGenerator.cs,63,47,37,2,16,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\LibraryOfNoise\LibraryOfNoise\Program.cs,23,18,11,0,2,0,3,12,0,0
C:\Users\Chris\Documents\GitHub\Misc\LibraryOfNoise\LibraryOfNoise\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\LibraryOfNoise\LibraryOfNoise\Properties\Resources.Designer.cs,72,41,16,3,9,1,22,119,0,1
C:\Users\Chris\Documents\GitHub\Misc\LibraryOfNoise\LibraryOfNoise\Properties\Settings.Designer.cs,31,17,6,1,6,1,8,30,0,1
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatAnalyzer\MeijerStatAnalyzer\Day.cs,44,39,26,0,5,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatAnalyzer\MeijerStatAnalyzer\Parser.cs,138,112,82,16,25,0,1,1,0,0
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatAnalyzer\MeijerStatAnalyzer\Program.cs,138,114,77,10,21,5,3,48,0,0
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatAnalyzer\MeijerStatAnalyzer\Queries.cs,205,161,103,22,35,1,9,53,0,0
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatAnalyzer\MeijerStatAnalyzer\SecondsAfterMidnight.cs,93,79,47,8,14,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatAnalyzer\MeijerStatAnalyzer\Series.cs,27,21,15,1,6,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatAnalyzer\MeijerStatAnalyzer\Shift.cs,41,35,28,0,6,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatAnalyzer\MeijerStatAnalyzer\StatsByDay.cs,90,75,59,4,15,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatAnalyzer\MeijerStatAnalyzer\Week.cs,44,38,27,3,6,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatAnalyzer\MeijerStatAnalyzer\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatTrack\MeijerStatTrack\Program.cs,17,15,9,0,2,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\MeijerStatTrack\MeijerStatTrack\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\PictureTiler\PictureTiler\App.xaml.cs,107,63,39,5,10,0,34,251,0,0
C:\Users\Chris\Documents\GitHub\Misc\PictureTiler\PictureTiler\MainPage.xaml.cs,31,24,18,0,3,0,4,30,0,0
C:\Users\Chris\Documents\GitHub\Misc\PictureTiler\PictureTiler\obj\x86\Debug\App.g.cs,18,7,2,0,3,0,8,28,0,0
C:\Users\Chris\Documents\GitHub\Misc\PictureTiler\PictureTiler\obj\x86\Debug\App.g.i.cs,60,40,15,2,6,0,14,41,0,0
C:\Users\Chris\Documents\GitHub\Misc\PictureTiler\PictureTiler\obj\x86\Debug\MainPage.g.cs,38,23,7,1,4,0,11,34,0,0
C:\Users\Chris\Documents\GitHub\Misc\PictureTiler\PictureTiler\obj\x86\Debug\MainPage.g.i.cs,40,19,8,1,10,0,11,34,0,0
C:\Users\Chris\Documents\GitHub\Misc\PictureTiler\PictureTiler\obj\x86\Debug\XamlTypeInfo.g.cs,536,442,286,59,75,4,19,61,0,1
C:\Users\Chris\Documents\GitHub\Misc\PictureTiler\PictureTiler\Properties\AssemblyInfo.cs,29,14,3,0,2,0,13,67,0,0
C:\Users\Chris\Documents\GitHub\Misc\PictureTilerCLI\PictureTilerCLI\CustomBlend.cs,41,28,15,2,3,0,10,34,0,0
C:\Users\Chris\Documents\GitHub\Misc\PictureTilerCLI\PictureTilerCLI\Program.cs,96,83,42,6,12,0,1,2,0,0
C:\Users\Chris\Documents\GitHub\Misc\PictureTilerCLI\PictureTilerCLI\Tiler.cs,233,201,122,36,29,0,3,7,0,0
C:\Users\Chris\Documents\GitHub\Misc\PictureTilerCLI\PictureTilerCLI\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\ProgrammingPuzzles\ProgrammingPuzzles\Program.cs,63,51,32,3,10,0,2,8,0,0
C:\Users\Chris\Documents\GitHub\Misc\ProgrammingPuzzles\ProgrammingPuzzles\Puzzle.cs,17,14,10,0,3,0,0,0,0,0
C:\Users\Chris\Documents\GitHub\Misc\ProgrammingPuzzles\ProgrammingPuzzles\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\Chris\Documents\GitHub\Misc\ProgrammingPuzzles\ProgrammingPuzzles\Puzzles\Disemvoweler.cs,35,28,19,1,6,0,1,2,0,0
C:\Users\Chris\Documents\GitHub\Misc\ProgrammingPuzzles\ProgrammingPuzzles\Puzzles\LangtonsAnt.cs,322,290,179,32,29,0,3,14,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickCountdown\QuickCountdown\MainForm.cs,75,55,39,0,15,0,5,47,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickCountdown\QuickCountdown\MainForm.Designer.cs,196,138,126,1,8,0,50,67,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickCountdown\QuickCountdown\Program.cs,23,18,11,0,2,0,3,12,0,0
C:\Users\Chris\Documents\GitHub\Misc\QuickCountdown\QuickCountdown\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
